,date,ticker,positive_avg,positive_std,negative_avg,negative_std,neutral_avg,neutral_std,sentiment_score_avg,sentiment_score_std,mention_count,Close,Volume,Return_1d,Return_5d,Return_tomorrow,Realized_volatility_5d,Log_Volume,Is_Return_tomorrow_positive
115,2021-02-17,GME,0.07880238645843093,0.09698906806293241,0.13795534646404636,0.20627168392955594,0.7832422704568931,0.2153347780649177,-0.059152960005615436,0.23987644553769383,70,11.484999656677246,36747200.0,-0.07210664140280387,-0.08686151117662289,-0.11427949840964324,0.0439407231072316,17.419572617457245,0.0
116,2021-02-18,AMC,0.11711830729801276,0.17758696731499435,0.08496586993044494,0.13539486648258603,0.7979158224793625,0.21339763000718273,0.032152437367567815,0.23280733076737173,102,55.099998474121094,13054080.0,-0.00720723470052087,-0.05000002630825695,0.034482787268520276,0.016250127989374762,16.384611363152686,1.0
117,2021-02-18,GME,0.08869323942137401,0.12520524927261426,0.1332970043956375,0.2091250922684177,0.7780097571850135,0.22747910478697156,-0.04460376497426348,0.2589837305501907,382,10.172499656677246,95962400.0,-0.11427949840964324,-0.20527347616443814,-0.002457568874319249,0.055773463286966196,18.37946701646477,0.0
118,2021-02-19,AMC,0.09476778596855588,0.11797032930884059,0.08831816030315295,0.15078264814500233,0.8169140484777914,0.17349348072075452,0.00644962566540291,0.2078576943164652,69,57.0,4024910.0,0.034482787268520276,0.01604280838428318,0.14912280701754388,0.02016248489222942,15.208013356789088,1.0
119,2021-02-19,BB,0.14580642925980297,0.21309232314580628,0.1357826546401433,0.23897520330310115,0.7184109211615894,0.2796949976402671,0.01002377461965964,0.3560978710886819,23,10.899999618530273,20132700.0,-0.003656303783114545,-0.12520067534836854,-0.02018342394989514,0.0485660675800415,16.817855966458946,0.0
120,2021-02-19,GME,0.08860375834685723,0.13970845755005945,0.14281545891767228,0.21266888331011807,0.7685807840160389,0.24041864085224227,-0.054211700570815036,0.2677534175872515,328,10.147500038146973,59312800.0,-0.002457568874319249,-0.20567512006592037,0.13328405585303216,0.05567965670418405,17.89833570913714,1.0
125,2021-02-22,AMC,0.1430264043762828,0.1878867565876381,0.081858827235798,0.13255789578829646,0.7751147717124585,0.22294689408413035,0.061167577140484784,0.23672925804127598,165,65.5,17340900.0,0.14912280701754388,0.17173520951831778,0.17557251908396942,0.06738990578422414,16.66857848875107,1.0
126,2021-02-22,GME,0.1009404628935769,0.15963008457640465,0.11721743364224502,0.19787605616882792,0.7818421008321794,0.23591658063761686,-0.016276970748668143,0.27132409144329395,276,11.5,77904000.0,0.13328405585303216,-0.12213743014335832,-0.022391277810801635,0.09568206212553684,18.170987870240932,0.0
127,2021-02-23,AMC,0.1257194428814246,0.15845456778702136,0.09781726996195224,0.20080070727420452,0.7764632901286378,0.2273427544849032,0.02790217291947233,0.2813766592642031,68,77.0,26487640.0,0.17557251908396942,0.36283185840707954,0.18051950033608977,0.08981935226057505,17.092188804810213,1.0
128,2021-02-23,GME,0.09809595621071561,0.12395804315053677,0.14772661252377123,0.22401431556795254,0.7541774367101681,0.23836821902879696,-0.0496306563130556,0.27253735585936506,117,11.242500305175781,30260800.0,-0.022391277810801635,-0.09169859128949942,1.0393594973320024,0.0939626927095121,17.22536373656238,1.0
129,2021-02-24,AMC,0.10819538254794232,0.12434151661939752,0.06066894148652613,0.06008799774869741,0.8311356821575681,0.12809959936510068,0.047526441061416166,0.147422025222224,37,90.9000015258789,37688180.0,0.18051950033608977,0.6378378653311514,-0.08800879940274176,0.08686543779749525,17.444857101940165,0.0
130,2021-02-24,GME,0.10284814496256713,0.13776543376497338,0.11612548255552979,0.18732889946334522,0.7810263748038305,0.21966691746515554,-0.013277337592962676,0.2447229199481923,73,22.927499771118164,332446800.0,1.0393594973320024,0.9962995608614043,0.18558504462293235,0.4738062050806279,19.621990408266818,1.0
131,2021-02-25,AMC,0.11964800878904937,0.1606259266884324,0.12381100071957557,0.1995415877990025,0.7565409904118718,0.22450530168934846,-0.0041629919305262155,0.2843104551793289,82,82.9000015258789,44571740.0,-0.08800879940274176,0.5045372744395753,-0.03377566948395938,0.11595329386075325,17.61261060630926,0.0
132,2021-02-25,GME,0.08853236648581543,0.13631286979524998,0.12306932353980188,0.188558561202697,0.7883983124940567,0.21738870755072123,-0.03453695705398645,0.24700851822049455,438,27.1825008392334,601235200.0,0.18558504462293235,1.6721554934033112,-0.06428773362783413,0.44085193371824133,20.214496765359907,0.0
133,2021-02-26,AMC,0.10232417437114882,0.10646814570144318,0.10552035274782347,0.15119202735766707,0.7921554695282663,0.18214628387768803,-0.003196178376674663,0.18764786148995927,70,80.0999984741211,13702800.0,-0.03377566948395938,0.4052631311249315,0.1460674756618976,0.12760602242346641,16.43311082245552,1.0
